word,count
جوان,1317
بسته,1317
میشن,1316
اسرائیل,1315
زنگ,1314
جون,1309
هرگز,1306
میشود,1305
توش,1304
خرید,1302
حذف,1300
نکن,1300
ولي,1300
درک,1299
اخیر,1298
رییس,1295
بلاک,1294
اصلاحات,1292
نیستم,1292
گاهی,1291
انقلابی,1291
میدن,1290
جریان,1289
راست,1287
خواهند,1287
حاضر,1285
سید,1285
:|,1285
چقد,1281
نیس,1281
دیگران,1280
احترام,1279
شکل,1279
و...,1278
ادم,1278
اینم,1278
هفت,1275
گذاشته,1272
فروش,1270
دوره,1270
شبیه,1267
خاتمی,1266
ضد,1266
میتونه,1265
بریم,1265
خنده,1264
دیشب,1264
حاتمی,1263
گیر,1262
دقیقه,1262
بودجه,1261
مقاومت,1260
تظاهرات,1260
السلام,1259
برق,1258
تحریم,1257
قلب,1256
میشم,1255
اسفند,1255
معرفی,1253
تومان,1252
اقتصادی,1248
پیشنهاد,1248
فضای,1246
کاملا,1246
شنبه,1246
وعلیکم,1246
شود.,1245
بي,1245
قتل,1244
بزن,1244
نسل,1244
منشن,1244
تک,1244
حسین,1242
کند.,1239
نماینده,1239
مدنی,1238
حکومتی,1238
هدف,1233
میکند,1233
#تظاهرات_سراسرى,1232
کودکان,1231
مشکلات,1230
پنج,1229
ازدواج,1229
وطن,1228
آهنگ,1228
مدت,1228
فعال,1228
اجرا,1225
اونایی,1225
سعی,1222
والا,1222
زلزله,1217
تلگرام,1213
اعتراضات,1212
یکم,1209
فشار,1208
فیو,1207
نفس,1202
طرح,1201
محل,1200
خیابون,1199
اي,1196
میگی,1193
سوی,1193
تعداد,1192
طبق,1190
خورده,1190
لازم,1187
آغاز,1186
اهل,1183
انتقاد,1180
انسانی,1179
مگر,1178
احمدی,1178
کلمه,1176
ميشه,1175
نظامی,1174
برات,1173
نجات,1173
دی,1172
تولید,1171
ارتش,1171
میدم,1170
عالی,1170
فرهنگ,1168
قرآن,1167
محکوم,1165
حفظ,1165
شده.,1165
سازی,1164
گفت:,1160
نکرده,1158
اره,1158
میکنید,1157
اثر,1156
حالت,1156
آخوند,1154
ماست,1152
حسن,1151
عقب,1150
نباشه,1148
خدایا,1146
اکسو,1146
تکرار,1145
مشخص,1144
....,1142
خارجی,1142
نگران,1142
افتاده,1141
رسیده,1139
آتنا,1135
اضافه,1135
زیست,1135
#علی_کریمی,1135
دادم,1134
فوتبال,1134
کلاس,1134
اعتماد,1133
همچین,1133
ته,1132
ولنتاین,1132
فرد,1132
سیاه,1131
نون,1130
حزب,1129
خدمت,1129
عدالت,1128
مسخره,1127
زندانیان,1126
دادگاه,1125
شدت,1123
قوه,1123
ناراحت,1123
می‌کنم,1121
چگونه,1121
نشه,1118
زدم,1117
دستگیر,1115
هست.,1115
مدیریت,1114
#عذرخواهی_پذیرفته_نیست,1113
پرواز,1112
میکرد,1111
دید,1111
افزایش,1111
گه,1108
سایت,1105
آمد,1103
برگزار,1103
ببینم,1100
باشن,1100
بحران,1099
علم,1099
کریمی,1099
#ایران_را_پس_میگیریم,1098
امسال,1097
گر,1097
یادم,1096
است؟,1096
مجازی,1092
قسمت,1092
آنچه,1091
قطعا,1091
#SaveGhouta,1091
قطع,1090
کوتاه,1090
تعریف,1089
آخوندی,1089
لعنت,1089
میکردم,1088
تنهایی,1088
چهل,1085
دوتا,1084
معلوم,1084
خوردن,1078
همچنان,1078
بزنه,1077
قراره,1076
اکانت,1075
خيلي,1075
سیاست,1074
نخواهد,1072
صحنه,1072
مختلف,1072
میگفت,1071
اقدام,1071
خواهیم,1070
سفید,1069
#RezaPahlavi,1069
دارد.,1068
غلط,1067
#حمایت_از_پژوهش_دکتری,1067
شد،,1065
مجبور,1065
یهو,1065
#taheri_movement,1065
تصمیم,1064
تنگ,1063
کدام,1062
مردمی,1062
۵,1061
شدیم,1058
جور,1058
لذت,1056
مدرسه,1056
گرفتم,1055
کنیم.,1054
فالو,1053
خراب,1053
۳,1051
سیستم,1051
بودی,1049
زور,1047
دسته,1046
اطلاع,1045
خواست,1044
خرج,1043
هيچ,1043
فرار,1041
کمی,1041
پوشش,1040
براى,1039
برادر,1038
مث,1037
كردن,1035
بودیم,1032
خطر,1032
نابود,1030
شخص,1030
شک,1030
باشه.,1029
احتمالا,1025
تحمل,1024
پرداخت,1020
سعید,1017
جدا,1017
حقیقت,1017
مظلوم,1017
شو,1016
هوایی,1016
همين,1014
باقی,1014
میشه.,1014
شهادت,1014
زیبا,1011
بدین,1011
#دختر_خیابان_انقلاب,1009
سفر,1009
مرسی,1007
#رفراندوم,1007
تجاوز,1004
شکست,1004
۴,1002
درخواست,1002
مامور,1000
نگه,1000
هواپیمای,1000
شیر,999
#فرقه_تبهکار,999
زهرا,998
اساسی,998
بدید,998
خورد,997
بازار,997
اونی,996
چوب,996
۱۰,995
دنیای,993
نمیاد,992
اخبار,991
بانک,989
ترکیه,989
#ايران,988
جالب,988
پاره,987
قانونی,984
۲,983
اجرای,983
خلاصه,982
هیچوقت,981
آموزش,981
/,981
🔴,980
ندارن,979
معنی,979
اعتراضی,978
حدود,978
تومن,978
هستید,978
#قيام_تا_پيروزى_ادامه_دارد,977
گوشی,977
شده،,977
آنان,976
مریم,975
توضیح,973
اکنون,972
دستور,972
ویژه,970
مشت,967
مصاحبه,967
