"Rank","Root Domain","Linking Root Domains","Domain Authority"
"293","pixabay.com","295,126","93"
"294","ggpht.com","571,098","93"
"295","princeton.edu","273,800","93"
"296","twitch.tv","300,461","93"
"297","amzn.to","715,230","93"
"298","privacyshield.gov","397,846","93"
"299","nvidia.com","143,949","93"
"300","stanford.edu","503,362","93"
"301","wikihow.com","343,699","93"
"302","eventbrite.com","526,734","93"
"303","disney.com","208,362","93"
"304","digg.com","824,258","93"
"305","chicagotribune.com","292,847","93"
"306","welt.de","155,922","93"
"307","umich.edu","284,276","93"
"308","skype.com","366,015","93"
"309","bloglovin.com","445,505","93"
"310","pl.wikipedia.org","126,553","93"
"311","urbandictionary.com","203,216","93"
"312","express.co.uk","199,721","93"
"313","my.yahoo.com","1,140,262","93"
"314","yale.edu","270,989","93"
"315","hm.com","151,623","93"
"316","ja.wikipedia.org","322,727","93"
"317","deezer.com","126,129","93"
"318","tripadvisor.com","445,602","93"
"319","google.nl","223,027","93"
"320","columbia.edu","270,217","93"
"321","oracle.com","515,946","93"
"322","kickstarter.com","398,225","93"
"323","alibaba.com","362,329","93"
"324","theverge.com","300,071","93"
"325","mega.nz","150,454","93"
"326","usnews.com","318,258","93"
"327","addthis.com","690,512","93"
"328","npr.org","590,362","93"
"329","liveinternet.ru","280,424","93"
"330","picasa.google.com","246,864","93"
"331","about.com","660,034","93"
"332","nginx.org","565,866","93"
"333","apache.org","864,397","93"
"334","yahoo.co.jp","613,120","93"
"335","britannica.com","266,725","93"
"336","scoop.it","331,688","93"
"337","netflix.com","241,432","93"
"338","storage.googleapis.com","532,610","93"
"339","unesco.org","251,574","93"
"340","buzzfeed.com","440,148","93"
"341","php.net","619,219","93"
"342","techcrunch.com","384,325","93"
"343","loc.gov","367,648","93"
"344","box.com","230,323","93"
"345","naver.jp","127,805","93"
"346","disqus.com","909,511","93"
"347","news.com.au","255,003","93"
"348","nicovideo.jp","136,760","93"
"349","photos1.blogger.com","821,018","93"
"350","secureserver.net","1,002,563","93"
"351","repubblica.it","166,984","93"
"352","hp.com","381,091","93"
"353","guardian.co.uk","514,476","93"
"354","ria.ru","154,166","93"
"355","forms.gle","367,480","93"
"356","gnu.org","547,533","93"
"357","ietf.org","334,879","93"
"358","amazon.es","148,532","93"
"359","zendesk.com","452,955","93"
"360","variety.com","195,974","93"
"361","utexas.edu","227,603","93"
"362","cbsnews.com","418,652","93"
"363","www.wix.com","872,602","93"
"364","trustpilot.com","337,748","93"
"365","oup.com","308,322","93"
"366","biglobe.ne.jp","221,288","93"
"367","hollywoodreporter.com","210,690","93"
"368","stackoverflow.com","283,004","93"
"369","wp.com","908,868","93"
"370","psychologytoday.com","267,734","93"
"371","depositfiles.com","138,467","93"
"372","discord.gg","181,704","93"
"373","abc.net.au","318,770","93"
"374","search.yahoo.com","419,706","93"
"375","ign.com","229,481","93"
"376","walmart.com","264,394","93"
"377","googleblog.com","211,072","93"
"378","yelp.com","819,926","93"
"379","m.wikipedia.org","225,708","93"
"380","amazon.fr","217,479","93"
"381","bandcamp.com","504,745","93"
"382","com.com","218,526","92"
"383","nba.com","175,792","92"
"384","boston.com","273,514","92"
"385","m.me","171,074","92"
"386","livescience.com","211,071","92"
"387","redhat.com","185,515","92"
"388","dreamstime.com","131,407","92"
"389","video.google.com","200,602","92"
"390","upenn.edu","256,205","92"
"391","sky.com","181,424","92"
"392","ucla.edu","223,843","92"
"393","tmz.com","174,670","92"
"394","sina.com.cn","1,071,137","92"
"395","symantec.com","149,825","92"
"396","ftc.gov","213,735","92"
"397","kinja.com","189,402","92"
"398","last.fm","393,841","92"
"399","biblegateway.com","202,673","92"
"400","calameo.com","149,949","92"
"401","ap.org","174,710","92"
"402","dreniq.com","325,892","92"
"403","nps.gov","288,282","92"
"404","home.pl","198,161","92"
"405","evernote.com","256,679","92"
"406","people.com","193,538","92"
"407","stores.jp","409,138","92"
"408","blog.fc2.com","395,780","92"
"409","zoom.us","317,636","92"
"410","nifty.com","209,985","92"
"411","soratemplates.com","211,370","92"
"412","nhk.or.jp","201,875","92"
"413","lifehacker.com","199,682","92"
"414","digitaltrends.com","157,194","92"
"415","bp3.blogger.com","521,070","92"
"416","prestashop.com","159,834","92"
"417","fastcompany.com","249,976","92"
"418","ieee.org","183,300","92"
"419","imageshack.com","434,006","92"
"420","qz.com","182,548","92"
"421","standard.co.uk","142,200","92"
"422","cisco.com","202,348","92"
"423","iso.org","166,349","92"
"424","fb.me","232,961","92"
"425","mixcloud.com","173,072","92"
"426","arxiv.org","177,260","92"
"427","tes.com","398,375","92"
"428","thoughtco.com","288,919","92"
"429","ed.gov","230,304","92"
"430","chron.com","191,532","92"
"431","billboard.com","160,235","92"
"432","plos.org","217,417","92"
"433","newscientist.com","188,534","92"
"434","ucoz.ru","181,907","92"
"435","sports.yahoo.com","175,147","92"
"436","state.gov","258,352","92"
"437","chinadaily.com.cn","261,850","92"
"438","pinterest.co.uk","160,922","92"
"439","businessinsider.com.au","250,281","92"
"440","elsevier.com","224,187","92"
"441","marriott.com","320,906","92"
"442","vkontakte.ru","365,953","92"
"443","usgs.gov","191,794","92"
"444","example.com","244,145","92"
"445","mhlw.go.jp","137,284","92"
"446","amazon.ca","175,705","92"
"447","indiegogo.com","215,417","92"
"448","groups.yahoo.com","297,779","92"
"449","gutenberg.org","153,871","92"
"450","outlook.com","195,549","92"
"451","pewresearch.org","188,594","92"
"452","howstuffworks.com","253,483","92"
"453","imgur.com","1,115,820","92"
"454","fda.gov","274,380","92"
"455","fifa.com","139,147","92"
"456","scientificamerican.com","243,370","92"
"457","psu.edu","263,667","92"
"458","thenextweb.com","164,774","92"
"459","parallels.com","571,657","92"
"460","cia.gov","132,881","92"
"461","ubuntu.com","179,801","92"
"462","espn.go.com","222,056","92"
"463","pexels.com","144,810","92"
"464","medicalnewstoday.com","171,068","92"
"465","feedproxy.google.com","753,609","92"
"466","eonline.com","172,442","92"
"467","answers.yahoo.com","186,148","92"
"468","daum.net","156,238","92"
"469","narod.ru","266,842","92"
"470","answers.com","213,628","92"
"471","tabelog.com","138,657","92"
"472","zdnet.com","236,083","92"
"473","xing.com","402,721","92"
"474","prnewswire.com","299,400","92"
"475","huawei.com","126,491","92"
"476","thedailybeast.com","200,047","92"
"477","foursquare.com","235,103","92"
"478","viagens.com.br","126,747","92"
"479","amazon.in","135,553","92"
"480","venturebeat.com","174,864","92"
"481","stuff.co.nz","134,001","92"
"482","excite.co.jp","484,052","92"
"483","wiktionary.org","239,710","92"
"484","dribbble.com","399,398","92"
"485","allrecipes.com","150,560","92"
"486","iubenda.com","187,383","92"
"487","csmonitor.com","165,840","92"
"488","chaturbate.com","121,848","92"
"489","marketwatch.com","277,285","92"
"490","udemy.com","146,726","92"
"491","intel.com","218,183","92"
"492","cbslocal.com","263,418","92"
"493","ndtv.com","149,314","92"
"494","sakura.ne.jp","362,896","92"
"495","cam.ac.uk","194,640","92"
"496","public-api.wordpress.com","172,974","92"
"497","mail.yahoo.com","170,212","92"
"498","searchenginejournal.com","261,939","92"
"499","behance.net","671,905","92"
"500","archives.gov","211,211","92"
